id,major,number,title,SBC,cmp,section,credit,date,startTime,endTime,instructor
95940,AMS,151,Applied Calculus I,QPS,LEC,90,3,MW,3:30 PM,4:50 PM,Kazem Mahdavi
95941,AMS,161,Applied Calculus II,QPS,LEC,90,3,MW,3:30 PM,4:50 PM,Young-seon Lee
96243,AMS,161,Applied Calculus II,QPS,LEC,91,3,TUTH,3:30 PM,4:50 PM,Young-seon Lee
95942,AMS,210,Applied Linear Algebra,STEM+,LEC,90,3,MW,5:00 PM,6:20 PM,Kazem Mahdavi
95943,AMS,261,Applied Calculus III,STEM+,LEC,90,4,MW,3:30 PM,4:50 PM,Tan Cao
95944,AMS,261,Applied Calculus III,STEM+,REC,R90,4,M,12:30 PM,1:25 PM,Tan Cao
95945,AMS,301,Finite Mathematical Structures,STEM+,LEC,90,3,MW,5:00 PM,6:20 PM,Suil O
95946,AMS,310,Survey of Probability and Statistics,STEM+,LEC,90,3,MW,10:30 AM,11:50 AM,MYOUNGSHIC JHUN
96115,AMS,317,Introduction to Linear Regression Analysis,,LEC,90,3,TUTH,2:00 PM,3:20 PM,CHANGSOON PARK
96143,AMS,318,Financial Mathematics,WRTD,LEC,90,3,MW,9:00 AM,10:20 AM,Ky Tran
95947,AMS,361,Applied Calculus IV: Differential Equations,STEM+,LEC,90,4,MW,2:00 PM,3:20 PM,Tan Cao
95948,AMS,361,Applied Calculus IV: Differential Equations,STEM+,REC,R90,4,F,10:30 AM,11:25 AM,Tan Cao
96144,AMS,394,Statistical Laboratory,"CER, ESI, EXP+",LAB,L90,3,MW,10:30 AM,11:50 AM,Hyunwook Koh
96180,AMS,412,Mathematical Statistics,"CER, ESI, EXP+",LEC,90,3,MW,3:30 PM,4:50 PM,MYOUNGSHIC JHUN
96061,AMS,475,Undergrad Teaching Practicum,"EXP+, SPK",TUT,T90,3,APPT,1:00 AM,1:00 AM,MYOUNGSHIC JHUN
96069,AMS,476,Undergrad Teaching Practicum,"EXP+, SPK",TUT,T90,3,APPT,1:00 AM,1:00 AM,MYOUNGSHIC JHUN
96070,AMS,487,Research in Applied Mathematic,"EXP+, WRTD",TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,MYOUNGSHIC JHUN
96116,AMS,487,Research in Applied Mathematic,"EXP+, WRTD",TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,Kazem Mahdavi
96117,AMS,487,Research in Applied Mathematic,"EXP+, WRTD",TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,Tan Cao
96163,AMS,487,Research in Applied Mathematic,"EXP+, WRTD",TUT,T93,0 to 3,APPT,1:00 AM,1:00 AM,Suil O
96308,AMS,487,Research in Applied Mathematic,"EXP+, WRTD",TUT,T94,0 to 3,APPT,1:00 AM,1:00 AM,Hyunwook Koh
96309,AMS,487,Research in Applied Mathematic,"EXP+, WRTD",TUT,T95,0 to 3,APPT,1:00 AM,1:00 AM,Ky Tran
95995,ACC,210,Financial Accounting,,LEC,90,3,TUTH,2:00 PM,3:20 PM,Jeehong Kim
96210,ACC,210,Financial Accounting (open to non-major students),,LEC,91,3,TH,2:00 PM,4:50 PM,Woon-Oh Jung
95996,BUS,215,Intro to Business Statistics,,LEC,90,3,MW,3:30 PM,4:50 PM,Jaeyeong Lee
96199,BUS,215,Intro to Business Statistics (open to non-major students),,LEC,91,3,TUTH,12:30 PM,1:50 PM,Seungwook Kim
96046,BUS,220,Intro to Decision Sciences,STEM+,LEC,90,3,MW,10:30 AM,11:50 AM,Chungseung Lee
96217,BUS,301,Business Communications,"SPK, WRTD",LEC,90,3,W,9:00 AM,11:50 AM,Tae Hee Lee
96194,BUS,326,Organizational Behavior,,LEC,90,3,TUTH,5:00 PM,6:20 PM,Chih-mao Hsieh
96002,BUS,330,Principles of Finance,,LEC,90,3,TUTH,10:30 AM,11:50 AM,Joung Hwa Choi
96071,BUS,346,Operations Management,,LEC,90,3,MW,3:30 PM,4:50 PM,Chungseung Lee
96003,BUS,348,Principles of Marketing,,LEC,90,3,MW,10:30 AM,11:50 AM,Sungjoon Nam
96166,BUS,353,Entrepreneurship,,LEC,90,3,TUTH,3:30 PM,4:50 PM,Chih-mao Hsieh
96214,BUS,358,Marketing Research,ESI,LEC,90,3,MW,5:00 PM,6:20 PM,Sungjoon Nam
96218,BUS,359,Consumer Behavior,,LEC,90,3,TU,2:00 PM,4:50 PM,Young-Won Ha
96268,BUS,365,Financial Management,ESI,LEC,90,3,TUTH,2:00 PM,3:20 PM,Joung Hwa Choi
96361,BUS,366,Money and Financial Institutions,,LEC,90,3,TU,10:30 AM,1:20 PM,Sung Sup Choi
96167,BUS,447,Business Ethics,CER,LEC,90,3,TH,10:30 AM,1:20 PM,In Ki Joo
96147,BUS,448,Marketing Strategy,,LEC,90,3,MW,2:00 PM,3:20 PM,KYUNG KYU KIM
96004,BUS,475,Undergrad Teachng Practicum I,EXP+,LEC,T90,3,APPT,1:00 AM,1:00 AM,Jaeyeong Lee
96154,BUS,475,Undergrad Teachng Practicum I,EXP+,LEC,T91,3,APPT,1:00 AM,1:00 AM,Chih-mao Hsieh
96155,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T92,3,APPT,1:00 AM,1:00 AM,Jeehong Kim
96159,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T93,3,APPT,1:00 AM,1:00 AM,Joung Hwa Choi
