id,major,number,title,SBC,cmp,section,credit,date,startTime,endTime,instructor
55928,AMS,151,Applied Calculus I,QPS,LEC,90,3,MW,3:30 PM,4:50 PM,TBA
56164,AMS,151,Applied Calculus I,QPS,LEC,91,3,TUTH,3:30 PM,4:50 PM,TBA
55929,AMS,161,Applied Calculus II,QPS,LEC,90,3,MW,3:30 PM,4:50 PM,Kazem Mahdavi
56165,AMS,161,Applied Calculus II,QPS,LEC,91,3,TUTH,3:30 PM,4:50 PM,Kazem Mahdavi
55930,AMS,210,Applied Linear Algebra,STEM+,LEC,90,3,MW,5:00 PM,6:20 PM,Ky Tran
56166,AMS,210,Applied Linear Algebra,STEM+,LEC,91,3,TUTH,5:00 PM,6:20 PM,Kazem Mahdavi
55931,AMS,261,Applied Calculus III,STEM+,LEC,90,4,MW,3:30 PM,4:50 PM,Tan Cao
55932,AMS,261,Applied Calculus III,STEM+,REC,R90,,RECF,1:30 PM,2:23 PM,Tan Cao
55944,AMS,301,Finite Mathematical Structures,STEM+,LEC,90,3,MW,5:00 PM,6:20 PM,Suil O
55987,AMS,303,Graph Theory,,LEC,90,3,MW,10:30 AM,11:50 AM,Suil O
55978,AMS,310,Survey of Probability and Stat,STEM+,LEC,90,3,MW,10:30 AM,11:50 AM,Hyunwook Koh
55933,AMS,311,Probability Theory,,LEC,90,3,MW,9:00 AM,10:20 AM,Ky Tran
55934,AMS,315,Data Analysis,"CER, ESI",LEC,90,3,TUTH,2:00 PM,3:20 PM,CHANGSOON PARK
56101,AMS,326,Numerical Analysis,,LEC,90,3,MW,2:00 PM,3:20 PM,Tan Cao
55935,AMS,475,Undergrad Teachng Practicum,"EXP+, SPK",TUT,T90,3,APPT,1:00 AM,1:00 AM,MYOUNGSHIC JHUN
56019,AMS,476,Undergrad Teaching Practicum,"EXP+, SPK",TUT,T90,3,APPT,1:00 AM,1:00 AM,MYOUNGSHIC JHUN
55936,AMS,487,Research in Applied Mathematic,"EXP+, WRTD",TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,Kazem Mahdavi
56036,AMS,487,Research in Applied Mathematic,"EXP+, WRTD",TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,MYOUNGSHIC JHUN
56080,AMS,487,Research in Applied Mathematic,"EXP+, WRTD",TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,Tan Cao
56095,AMS,487,Research in Applied Mathematic,"EXP+, WRTD",TUT,T93,0 to 3,APPT,1:00 AM,1:00 AM,Suil O
56167,AMS,570,Intro to Math Statistics,,LEC,90,3,MW,2:00 PM,3:20 PM,MYOUNGSHIC JHUN
56168,AMS,573,Ctgorcl Data Anlys,,LEC,90,3,TUTH,10:30 AM,11:50 AM,CHANGSOON PARK
56169,AMS,578,Regression Theory,,LEC,90,3,MW,9:00 AM,10:20 AM,Hyunwook Koh
55838,ACC,210,Financial Accounting,,LEC,90,3,TUTH,2:00 PM,3:20 PM,Jeehong Kim
56163,ACC,210,Financial Accounting (for non-major students),,LEC,91,3,TH,12:30 PM,3:20 PM,Woon-Oh Jung
55834,BUS,215,Intro to Business Statistics,,LEC,90,3,TUTH,3:30 PM,4:50 PM,Jaeyeong Lee
56170,BUS,215,Intro to Business Statistics (for non-major students),,LEC,91,3,TUTH,12:30 PM,1:50 PM,Seungwook Kim
55988,BUS,220,Intro to Decision Sciences,STEM+,LEC,90,3,MW,10:30 AM,11:50 AM,Chungseung Lee
56172,BUS,326,Organizational Behavior,,LEC,90,3,TUTH,5:00 PM,6:20 PM,Chih-mao Hsieh
55989,BUS,330,Principles of Finance,,LEC,90,3,TUTH,10:30 AM,11:50 AM,Joung Hwa Choi
55998,BUS,346,Operations Management,,LEC,90,3,MW,5:00 PM,6:20 PM,Chungseung Lee
55990,BUS,348,Principles of Marketing,,LEC,90,3,MW,10:30 AM,11:50 AM,Sungjoon Nam
56173,BUS,348,Principles of Marketing (for non-major students),,LEC,91,3,TUTH,5:00 PM,6:20 PM,Sungjoon Nam
56045,BUS,353,Entrepreneurship,,LEC,90,3,TUTH,3:30 PM,4:50 PM,Chih-mao Hsieh
56174,BUS,359,Consumer Behavior,,LEC,90,3,TU,2:00 PM,4:50 PM,Young-Won Ha
56175,BUS,361,Retail Management,,LEC,90,3,MW,5:00 PM,6:20 PM,Sungjoon Nam
56097,BUS,365,Financial Management,ESI,LEC,90,3,TUTH,5:00 PM,6:20 PM,Joung Hwa Choi
56176,BUS,447,Business Ethics,"CER, SPK, WRTD",LEC,90,3,TH,10:30 AM,1:20 PM,In Ki Joo
56177,BUS,448,Marketing Strategy,,LEC,90,3,MW,9:00 AM,10:20 AM,KYUNG KU KIM
55835,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,Woon-Oh Jung
55983,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T91,3,APPT,1:00 AM,1:00 AM,Jaeyeong Lee
56087,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T92,3,APPT,1:00 AM,1:00 AM,Chih-mao Hsieh
56088,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T93,3,APPT,1:00 AM,1:00 AM,Sungjoon Nam
56089,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T94,3,APPT,1:00 AM,1:00 AM,Seungwook Kim
56178,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T95,3,APPT,1:00 AM,1:00 AM,Jeehong Kim
56179,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T96,3,APPT,1:00 AM,1:00 AM,Joung Hwa Choi
56180,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T97,3,APPT,1:00 AM,1:00 AM,Young-Won Ha
56043,BUS,488,Internship,EXP+,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,Jeehong Kim
55894,CSE,101,Computer Science Principles,TECH,LEC,90,3,TUTH,5:00 PM,6:20 PM,Alexander Kuhn
55895,CSE,101,Computer Science Principles,TECH,LAB,L90,,M,12:30 PM,1:50 PM,Alexander Kuhn
55896,CSE,102,Intro to Web Dsgn & Programmg,TECH,LEC,90,3,MW,5:00 PM,6:20 PM,TBA
55897,CSE,114,Intro to Object-Oriented Prog,TECH,LEC,90,4,MW,2:00 PM,3:20 PM,Antonino Mione
55898,CSE,114,Intro to Object-Oriented Prog,TECH,LAB,L90,,TUTH,2:00 PM,3:20 PM,Antonino Mione
55899,CSE,214,Data Structures,,LEC,90,4,TUTH,2:00 PM,3:20 PM,YoungMin Kwon
55900,CSE,214,Data Structures,,REC,R90,,RECW,2:00 PM,2:53 PM,YoungMin Kwon
55901,CSE,215,Foundations of Comp Science,,LEC,90,4,TUTH,12:30 PM,1:50 PM,Chi Him Wong
55902,CSE,215,Foundations of Comp Science,,REC,R90,,RETH,9:00 AM,9:53 AM,Chi Him Wong
56050,CSE,216,Programming Abstractions,,LEC,90,4,TUTH,5:00 PM,6:20 PM,YoungMin Kwon
56051,CSE,216,Programming Abstractions,,REC,R90,,RECM,12:00 PM,12:53 PM,YoungMin Kwon
55993,CSE,220,Systems Fundamentals I,,LEC,90,4,TUTH,10:30 AM,11:50 AM,AMOS OMONDI
55992,CSE,220,Systems Fundamentals I,,REC,R90,,RECW,2:00 PM,2:53 PM,AMOS OMONDI
55903,CSE,303,Intro to Theory of Computation,,LEC,90,"3
3",TUTH,3:30 PM,4:50 PM,AMOS OMONDI
55912,CSE,305,Principles of Database Systems,"Partially: ESI, EXP+, SBS+, STEM+",LEC,90,,TUTH,2:00 PM,3:20 PM,Arthur Lee
56000,CSE,312,Legal Issues in Info Systems,"CER, ESI, STAS",LEC,90,3,MW,3:30 PM,4:50 PM,AMOS OMONDI
56098,CSE,316,Software Development,,LEC,90,3,MW,5:00 PM,6:20 PM,Alexander Kuhn
55913,CSE,320,Systems Fundamentals II,,LEC,90,3,TUTH,10:30 AM,11:50 AM,Antonino Mione
56077,CSE,327,Computer Vision,,LEC,90,3,MW,5:00 PM,6:20 PM,Jihoon Ryoo
56184,CSE,331,Computer Security Fundamentals,,LEC,90,3,MW,10:30 AM,11:50 AM,Antonino Mione
56102,CSE,352,Artificial Intelligence,,LEC,90,3,MW,2:00 PM,3:20 PM,Byungkon Kang
55999,CSE,416,Software Engineering,"Partially: ESI, EXP+, SBS+, STEM+",LEC,90,3,TUTH,3:30 PM,4:50 PM,Alexander Kuhn
55921,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,Arthur Lee
56038,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T91,3,APPT,1:00 AM,1:00 AM,Alexander Kuhn
56039,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,T92,3,APPT,1:00 AM,1:00 AM,YoungMin Kwon
